turn,player,money,tap
6,0,1840,2088
6,1,1145,1828
7,0,1840,2088
7,1,1345,1828
8,0,1240,2088
8,1,1945,1828
9,0,1240,2088
9,1,1945,1828
10,0,1440,2088
10,1,1945,1828
11,0,1440,2088
11,1,1945,1828
12,0,1440,2088
12,1,1945,1828
13,0,1440,2088
13,1,1945,1828
14,0,1440,2088
14,1,1945,1828
15,0,1440,2088
15,1,2125,1928
16,0,1440,2088
16,1,2125,1928
17,0,1440,2088
17,1,2125,1928
18,0,1640,2088
18,1,2125,1928
19,0,1640,2088
19,1,2125,1928
20,0,1640,2088
20,1,2125,1928
21,0,1640,2088
21,1,2125,1928
22,0,1640,2088
22,1,2125,1928
23,0,1640,2088
23,1,2125,1928
24,0,1640,2088
24,1,2125,1928
25,0,1640,2088
25,1,2125,1928
26,0,1640,2088
26,1,2125,1928
27,0,1640,2088
27,1,2125,1928
28,0,1840,2088
28,1,2125,1928
29,0,1840,2088
29,1,2125,1928
0,0,1550,1148
0,1,1585,1203
1,0,1550,1148
1,1,1585,1203
2,0,1550,1148
2,1,1685,1528
3,0,1550,1148
3,1,1685,1528
4,0,1550,1148
4,1,1685,1528
5,0,1550,1148
5,1,1785,1928
6,0,1550,1148
6,1,1785,1928
7,0,1550,1148
7,1,1785,1928
8,0,1550,1148
8,1,1785,1928
9,0,1550,1148
9,1,1785,1928
10,0,950,1073
10,1,2085,3628
11,0,950,1073
11,1,2085,3628
12,0,1150,1073
12,1,2085,3628
13,0,1150,1073
13,1,2085,3628
14,0,1150,1073
14,1,2085,3628
15,0,1150,1073
15,1,2085,3628
16,0,1150,1073
16,1,2085,3628
17,0,1150,1073
17,1,2085,3628
18,0,1150,1073
18,1,2085,3628
19,0,1150,1073
19,1,2085,3628
20,0,1150,1073
20,1,2085,3628
21,0,1150,1073
21,1,1985,3628
22,0,1150,1073
22,1,1985,3628
23,0,1150,1073
23,1,1985,3628
24,0,1150,1073
24,1,1985,3628
25,0,1150,1073
25,1,1985,3628
26,0,1150,1073
26,1,1985,3628
27,0,1480,1073
27,1,1655,3628
28,0,1430,1073
